Reference,plumage,similar species 1,similar species 1 plumage,similar species 2,similar species 2 plumage,similar species 3,similar species 3 plumage,similar species 4,similar species 4 plumage,similar species 5,similar species plumage 5
species.pernis_apivorus,adult male,species.buteo_buteo,adult,species.buteo_rufinus,adult form1,species.buteo_lagopus,adult female,,
species.pernis_ptilorhynchus,adult male,species.pernis_apivorus,adult male,,,,,,
species.milvus_migrans,adult,species.milvus_milvus,adult,,,,,,
species.milvus_milvus,adult,species.milvus_migrans,adult,,,,,,
species.haliaeetus_albicilla,adult,species.aquila_clanga,juvenile form1,species.aquila_chrysaetos,adult,,,,
species.haliaeetus_albicilla,juvenile,species.aquila_chrysaetos,adult,species.aquila_clanga,juvenile form1,,,,
species.circaetus_gallicus,adult,species.aquila_fasciata,adult,species.buteo_buteo,adult,,,,
species.circus_cyaneus,adult male,species.circus_pygargus,adult male,species.circus_macrourus,adult male,species.accipiter_gentilis,adult male,,
species.circus_cyaneus,adult female,species.circus_pygargus,adult female,species.circus_macrourus,adult female,species.accipiter_nisus,adult female,species.circus_aeruginosus,adult female
species.circus_pygargus,adult male,species.circus_cyaneus,adult male,species.circus_macrourus,adult male,,,,
species.circus_pygargus,adult female,species.circus_cyaneus,adult female,species.circus_macrourus,adult female,species.circus_aeruginosus,adult female,,
species.circus_aeruginosus,adult male,species.circus_pygargus,adult female,species.circus_cyaneus,adult female,,,,
species.circus_aeruginosus,adult female,species.circus_pygargus,adult female,species.circus_cyaneus,adult female,species.circus_macrourus,adult female,species.buteo_buteo,adult
species.circus_macrourus,adult male,species.circus_cyaneus,adult male,species.circus_pygargus,adult male,species.elanus_caeruleus,adult,,
species.circus_macrourus,adult female,species.circus_pygargus,adult female,species.circus_cyaneus,adult female,,,,
species.circus_macrourus,juvenile,species.circus_pygargus,adult female,species.circus_cyaneus,adult female,,,,
species.accipiter_nisus,adult male,species.accipiter_brevipes,adult male,species.accipiter_gentilis,adult male,,,,
species.accipiter_nisus,adult female,species.accipiter_gentilis,adult male,species.accipiter_brevipes,adult female,,,,
species.accipiter_brevipes,adult male,species.accipiter_nisus,adult male,,,,,,
species.accipiter_brevipes,adult female,species.accipiter_nisus,adult female,,,,,,
species.melierax_metabates,adult,species.circus_cyaneus,adult male,species.elanus_caeruleus,adult,,,,
species.elanus_caeruleus,adult,species.circus_macrourus,adult male,species.accipiter_nisus,adult male,species.melierax_metabates,adult,,
species.accipiter_gentilis,adult male,species.accipiter_nisus,adult female,species.buteo_buteo,adult,,,,
species.buteo_rufinus,adult form1,species.buteo_buteo_vulpinus,adult form1,species.buteo_buteo,adult,,,,
species.buteo_buteo_vulpinus,adult form1,species.buteo_rufinus,adult form1,species.buteo_buteo,adult,,,,
species.buteo_buteo,adult,species.buteo_lagopus,adult female,species.buteo_buteo_vulpinus,adult form1,species.buteo_rufinus,adult form1,,
species.buteo_lagopus,adult female,species.buteo_buteo,adult,species.buteo_buteo_vulpinus,adult form1,,
species.aquila_pomarina,juvenile,species.aquila_clanga,juvenile form1,species.aquila_nipalensis,juvenile,,
